code,label,path
201104,Baustatik,Technische Wissenschaften > Bauwesen > Bauingenieurwesen > Baustatik
201105,Baustofflehre,Technische Wissenschaften > Bauwesen > Bauingenieurwesen > Baustofflehre
201106,Bautechnik,Technische Wissenschaften > Bauwesen > Bauingenieurwesen > Bautechnik
201107,Betriebsfestigkeit (203002),Technische Wissenschaften > Bauwesen > Bauingenieurwesen > Betriebsfestigkeit (203002)
201108,Bruchmechanik (203003),Technische Wissenschaften > Bauwesen > Bauingenieurwesen > Bruchmechanik (203003)
201109,Brückenbau,Technische Wissenschaften > Bauwesen > Bauingenieurwesen > Brückenbau
201132,Computational Engineering (203037),Technische Wissenschaften > Bauwesen > Bauingenieurwesen > Computational Engineering (203037)
201129,Erdbebeningenieurwesen,Technische Wissenschaften > Bauwesen > Bauingenieurwesen > Erdbebeningenieurwesen
201110,Festigkeitslehre (203007),Technische Wissenschaften > Bauwesen > Bauingenieurwesen > Festigkeitslehre (203007)
201111,Flussbau,Technische Wissenschaften > Bauwesen > Bauingenieurwesen > Flussbau
201112,Hochbau,Technische Wissenschaften > Bauwesen > Bauingenieurwesen > Hochbau
201113,Holzbau,Technische Wissenschaften > Bauwesen > Bauingenieurwesen > Holzbau
201114,Industriebau,Technische Wissenschaften > Bauwesen > Bauingenieurwesen > Industriebau
201130,Konstruktiver Glasbau,Technische Wissenschaften > Bauwesen > Bauingenieurwesen > Konstruktiver Glasbau
201115,Konstruktiver Wasserbau,Technische Wissenschaften > Bauwesen > Bauingenieurwesen > Konstruktiver Wasserbau
201116,Landwirtschaftliches Bauwesen,Technische Wissenschaften > Bauwesen > Bauingenieurwesen > Landwirtschaftliches Bauwesen
201117,Leichtbau (203011),Technische Wissenschaften > Bauwesen > Bauingenieurwesen > Leichtbau (203011)
201128,Nachhaltiges Bauen,Technische Wissenschaften > Bauwesen > Bauingenieurwesen > Nachhaltiges Bauen
201118,Siedlungswasserbau,Technische Wissenschaften > Bauwesen > Bauingenieurwesen > Siedlungswasserbau
